HSR,train,bus,car
-2236.792310484976,-2851.0658963326277,43259.382232475094,-2843.1314015077805
-1777.7185304970844,-2252.2151092918502,33160.3711057154,-2242.8398289429024
-1322.4918255854682,-1665.5164333040448,23767.902563894793,-1656.745041195667
-873.1772319005831,-1093.2473880138132,15117.869257388506,-1086.6179990870005
-431.7140963938218,-537.4464466448844,7204.832530501895,-533.9537420979323
0.0,0.0,0.0,0.0
420.00296448086374,517.2949577287218,-6537.028835259509,514.2019822042785
826.1937629118584,1012.7358462210977,-12451.74171831095,1007.7850947953848
1216.3412844161103,1484.7931480810366,-17791.391610352584,1480.0469365762401
1588.196066490862,1932.2325701134832,-22603.32673988287,1930.464816863052
1939.6793410930622,2354.233299134008,-26934.066628661625,2358.7243645192793
